Date,open,high,low,close,volume,change,1month_close,1month_change,TARGET,_qcut,macd,macd_signal,macd_hist,bol_upperband,bol_middleband,bol_lowerband,bolinger_pca
2013-05-10,90700,91300,89700,90000,76934,-0.0066225165562914245,81400.0,-0.09555555555555556,-5.0,-10.0,330.31292555929394,45.46007480266553,284.8528507566284,94831.59642740917,89295.0,83758.40357259083,-49842.478808573884
2013-05-13,90000,90300,87200,87500,136327,-0.02777777777777779,81800.0,-0.06514285714285714,-5.0,-5.0,55.06983557678177,47.382026957488776,7.687808619292994,94668.4664426859,89420.0,84171.5335573141,-49665.699852163845
2013-05-14,88000,88300,86400,86500,126754,-0.011428571428571455,81400.0,-0.058959537572254334,-5.0,-5.0,-240.97611623945704,-10.289601681900393,-230.68651455755665,93981.59740784921,89630.0,85278.40259215079,-49424.2240454002
2013-05-15,87000,87500,85800,86000,72483,-0.005780346820809301,81500.0,-0.05232558139534884,-5.0,-5.0,-510.0608236027183,-110.24384606606398,-399.81697753665435,94094.04896312336,89560.0,85025.95103687664,-49520.38299826184
2013-05-16,86300,88300,86300,87800,121984,0.020930232558139528,81800.0,-0.0683371298405467,-5.0,-5.0,-571.4797729773127,-202.49103144831372,-368.98874152899896,94074.22042230051,89585.0,85095.77957769949,-49483.30626514829
2013-05-20,87600,89400,87600,88600,96088,0.009111617312072884,81200.0,-0.0835214446952596,-5.0,-5.0,-549.2697786357312,-271.8467808857972,-277.422997749934,93663.9643777402,89790.0,85916.0356222598,-49212.58147823988
2013-05-21,88000,89100,87600,88500,95517,-0.0011286681715575453,78300.0,-0.1152542372881356,-10.0,-10.0,-533.586509238361,-324.19472655631,-209.39178268205103,93594.23789026588,89855.0,86115.76210973412,-49118.62569524291
2013-05-22,88600,89100,87400,87600,71631,-0.01016949152542368,79300.0,-0.09474885844748858,-5.0,-10.0,-587.0131613146368,-376.7584135079754,-210.25474780666144,93625.9867139994,89825.0,86024.0132860006,-49162.04808110388
2013-05-23,87300,88200,85300,85300,63331,-0.026255707762557035,78900.0,-0.07502930832356389,-5.0,-5.0,-805.6578242084215,-462.5382956480646,-343.1195285603569,93775.75258956422,89540.0,85304.24741043578,-49594.98054635392
2013-05-24,86000,86700,84400,84900,83950,-0.004689331770222793,80000.0,-0.05771495877502945,-5.0,-5.0,-999.6881689347938,-569.9682703054104,-429.71989862938335,93890.63235738689,89245.0,84599.36764261311,-50048.50160451287
2013-05-27,85000,85300,82700,83000,136629,-0.0223792697290931,82300.0,-0.008433734939759036,-3.0,0.0,-1291.8807390886795,-714.3507640620643,-577.5299750266153,94173.8250582248,88855.0,83536.1749417752,-50630.41282186641
2013-05-28,83000,83600,82700,83600,126869,0.0072289156626506035,82300.0,-0.01555023923444976,-3.0,-3.0,-1458.2210064276005,-863.1248125351715,-595.096193892429,94199.20020686512,88495.0,82790.79979313488,-51199.30231485875
2013-05-29,84000,86700,83900,86200,108162,0.031100478468899517,83400.0,-0.03248259860788863,-3.0,-3.0,-1364.5192670899705,-963.4037034461313,-401.1155636438392,93842.87804962837,88230.0,82617.12195037163,-51668.49657755175
2013-05-30,86100,87900,84600,85700,108320,-0.0058004640371229765,83600.0,-0.024504084014002333,-3.0,-3.0,-1315.442186217595,-1033.811400000424,-281.6307862171709,93669.47610305322,88015.0,82360.52389694678,-52033.60622446439
2013-05-31,85700,85700,84200,85300,84874,-0.004667444574095736,84000.0,-0.015240328253223915,-3.0,-3.0,-1293.9095195942937,-1085.831023919198,-208.0784956750956,93360.81844574258,87740.0,82119.18155425742,-52512.288061816784
2013-06-03,85000,85000,83000,83100,104612,-0.02579132473622514,84000.0,0.010830324909747292,0.0,0.0,-1437.7923646091513,-1156.2232920571887,-281.56907255196256,93102.59498401894,87345.0,81587.40501598106,-53174.95501989666
2013-06-04,83300,84200,82700,83300,60498,0.002406738868832692,84100.0,0.009603841536614645,-3.0,0.0,-1518.1815752093098,-1228.614948687613,-289.5666265216969,92575.08849488218,86925.0,81274.91150511782,-53913.57707777673
2013-06-05,82900,83700,81000,81200,96304,-0.025210084033613467,84100.0,0.03571428571428571,1.0,1.0,-1731.3847279563197,-1329.1689045413543,-402.21582341496537,91725.3240643502,86325.0,80924.6759356498,-54981.68578296478
2013-06-07,80500,81200,77000,79100,171855,-0.025862068965517238,83400.0,0.05436156763590392,1.0,1.0,-2046.2147225249937,-1472.5780681380822,-573.6366543869115,91346.46532739307,85690.0,80033.53467260693,-56042.10975588114
2013-06-10,79200,81200,78000,80700,95700,0.020227560050568805,83600.0,0.03593556381660471,1.0,1.0,-2141.9223852494615,-1606.446931560358,-535.4754536891035,90778.35920392016,85195.0,79611.64079607984,-56905.42100866444
2013-06-11,80300,81100,79800,79800,44512,-0.01115241635687736,83700.0,0.04887218045112782,1.0,1.0,-2264.292521170326,-1738.0160494823517,-526.2764716879742,90282.95498374183,84685.0,79087.04501625817,-57782.80156006353
2013-06-12,78900,82000,78900,81900,48448,0.026315789473684292,83900.0,0.02442002442002442,0.0,0.0,-2166.841288388445,-1823.7810972635702,-343.06019112487456,89971.85728216558,84405.0,78838.14271783442,-58269.760159558624
