Date,open,high,low,close,volume,change,ma5,ma10,ma20,ma60,ma120,upperband,middleband,lowerband
2019-03-29,44500,44900,44200,44650,11491713,-0.004459308807134854,45120.0,44965.0,44560.0,43872.5,43125.416666666664,46121.601741802304,44560.0,42998.398258197696
2019-04-01,45200,45450,44850,45050,7362129,0.008958566629339249,45030.0,45100.0,44570.0,43978.333333333336,43120.0,46141.43246752764,44570.0,42998.56753247236
2019-04-02,45550,46100,45350,45750,9480688,0.015538290788013276,45130.0,45285.0,44645.0,44095.0,43128.75,46289.658019163864,44645.0,43000.341980836136
2019-04-03,46750,46750,45800,46600,12436570,0.01857923497267766,45380.0,45540.0,44775.0,44245.0,43144.583333333336,46596.67505335063,44775.0,42953.32494664937
2019-04-04,46150,47100,46150,46950,12650168,0.007510729613734002,45800.0,45650.0,44900.0,44403.333333333336,43161.25,46944.749373395185,44900.0,42855.250626604815
2019-04-05,46950,47550,46600,46850,8546339,-0.0021299254526091493,46240.0,45680.0,45052.5,44538.333333333336,43174.166666666664,47198.77002029102,45052.5,42906.22997970898
2019-04-08,47250,47250,46150,46650,8507909,-0.004268943436499417,46560.0,45795.0,45202.5,44680.833333333336,43203.75,47355.050812408386,45202.5,43049.949187591614
2019-04-09,46700,46950,46200,46650,6878761,0.0,46740.0,45935.0,45302.5,44798.333333333336,43225.833333333336,47527.69100303772,45302.5,43077.30899696228
2019-04-10,46400,46700,46050,46700,11883995,0.001071811361200492,46760.0,46070.0,45445.0,44913.333333333336,43250.0,47644.74998579384,45445.0,43245.25001420616
2019-04-11,46700,46800,46150,46250,13697399,-0.009635974304068484,46620.0,46210.0,45565.0,45009.166666666664,43272.083333333336,47663.11820448706,45565.0,43466.88179551294
2019-04-12,46050,46900,46000,46850,7668936,0.012972972972973063,46620.0,46430.0,45697.5,45122.5,43294.583333333336,47768.60477764888,45697.5,43626.39522235112
2019-04-15,47150,47500,47000,47050,8733019,0.004268943436499528,46700.0,46630.0,45865.0,45221.666666666664,43319.583333333336,47800.226084983355,45865.0,43929.773915016645
2019-04-16,47400,47400,46800,47250,7730881,0.004250797024442088,46820.0,46780.0,46032.5,45318.333333333336,43347.5,47833.68710854814,46032.5,44231.31289145186
2019-04-17,47300,47600,47000,47050,5513658,-0.004232804232804255,46890.0,46825.0,46182.5,45403.333333333336,43376.666666666664,47787.26633813151,46182.5,44577.73366186849
2019-04-18,47200,47250,45500,45600,12808747,-0.03081827842720508,46760.0,46690.0,46170.0,45458.333333333336,43397.916666666664,47788.76496132082,46170.0,44551.23503867918
2019-04-19,45750,46000,45250,45300,8479710,-0.006578947368421018,46450.0,46535.0,46107.5,45500.833333333336,43420.833333333336,47758.94633579175,46107.5,44456.05366420825
2019-04-22,45400,45900,45100,45350,6006957,0.001103752759381793,46110.0,46405.0,46100.0,45554.166666666664,43457.083333333336,47763.73074744683,46100.0,44436.26925255317
2019-04-23,45050,45500,45000,45200,6920566,-0.003307607497243681,45700.0,46260.0,46097.5,45607.5,43492.083333333336,47766.47423587064,46097.5,44428.52576412936
2019-04-24,45400,45650,44150,44750,13299267,-0.009955752212389424,45240.0,46065.0,46067.5,45635.833333333336,43520.0,47809.12998366473,46067.5,44325.87001633527
2019-04-25,44250,45000,44100,44650,10868965,-0.0022346368715083775,45050.0,45905.0,46057.5,45634.166666666664,43539.166666666664,47829.01771089086,46057.5,44285.98228910914
2019-04-26,44200,45000,43800,44850,9739982,0.004479283314669624,44960.0,45705.0,46067.5,45630.833333333336,43559.583333333336,47809.12998366473,46067.5,44325.87001633527
2019-04-29,45150,46150,45100,46150,8777517,0.02898550724637672,45120.0,45615.0,46122.5,45641.666666666664,43592.916666666664,47800.43772232464,46122.5,44444.56227767536
